"GEOID","med_income","x","y","areas","adjusted_rate"
49025,50194,-111.888144347598,37.2863045188624,0.0279641291273222,80.4356720963823
49029,74314,-111.573455516562,41.0891447620002,0.00415493873716153,83.8093758980896
49035,62117,-111.923615085619,40.667258131239,0.00548100977921807,76.1346545021242
49043,91773,-110.955896786246,40.8687195166276,0.0127990066939638,82.5906049743475
51001,39412,-75.6337228901722,37.7640249231208,0.00383356639659657,84.4279114580053
51015,54558,-79.1337369203675,38.1644199154726,0.00660769518979885,87.2101902151639
51037,35079,-78.6615471479624,37.0114925921735,0.00325093215783281,87.9486592460351
51053,51397,-77.6323445509745,37.0758790558179,0.00345279750489549,87.1226355367654
51069,69098,-78.2626210375291,39.2044492491404,0.00282651988186558,83.6128333592362
51109,57829,-77.9628043755637,37.9781762682036,0.00347746868974728,86.355902226278
51125,47118,-78.8867116881297,37.7873202691524,0.00322884351081627,86.1187085901954
51145,77896,-77.9152014110353,37.5502077384155,0.00178586204728065,88.0057561628237
51161,60519,-80.067865253942,37.2692218741997,0.00171103868129953,84.8465773123641
51185,37664,-81.5608137705269,37.1249736968071,0.00353877419706922,82.3777409223638
51790,40842,-79.0608101211642,38.1593104935008,0.000136095510584364,87.7811010474018
53005,60251,-119.510883864783,46.2391794137255,0.0119577064763722,84.09987029555
53007,51837,-120.618129063239,47.8676542119966,0.0203320437252457,81.0761718825102
53009,47253,-123.927080236571,48.050235971995,0.0120406653199366,85.2459832821783
53015,47452,-122.680590212684,46.1932574776554,0.007920151826617,79.5640454286873
53037,46458,-120.677935667723,47.1241757129387,0.0158472361588985,85.8149687859146
53043,46069,-118.418518844672,47.5760973397814,0.0158830481741494,84.8729696733495
53065,41978,-117.85535957128,48.3969874269684,0.017253983365021,78.8452375077459
54005,39958,-81.7111146261795,38.022900508692,0.00342472595761501,84.3465679346375
54017,39974,-80.7070358463305,39.2691022374311,0.00218138354425949,73.0205099169657
54039,45882,-81.5279793372886,38.3364007107711,0.00620016467076309,81.2148423261595
54045,36763,-81.935225226409,37.8314851880193,0.00310133664531457,80.9625470805934
